idx,tracking_ts_unix,tracking_ts_gmt2,closest_timestamp_idx,closest_robot_ts_unix,closest_robot_ts_gmt2,time_difference
179,1753805674.558443,2025-07-29 18:14:34,106,1753805674.561554,2025-07-29 18:14:34,0.003110999999999975
180,1753805674.609761,2025-07-29 18:14:34,106,1753805674.561554,2025-07-29 18:14:34,0.048207
181,1753805674.649713,2025-07-29 18:14:34,107,1753805674.733182,2025-07-29 18:14:34,0.08346900000000002
182,1753805674.699447,2025-07-29 18:14:34,107,1753805674.733182,2025-07-29 18:14:34,0.03373499999999996
183,1753805674.758518,2025-07-29 18:14:34,107,1753805674.733182,2025-07-29 18:14:34,0.025336
184,1753805674.808538,2025-07-29 18:14:34,107,1753805674.733182,2025-07-29 18:14:34,0.075356
185,1753805674.849757,2025-07-29 18:14:34,108,1753805674.90745,2025-07-29 18:14:34,0.057692999999999994
186,1753805674.909235,2025-07-29 18:14:34,108,1753805674.90745,2025-07-29 18:14:34,0.001785
187,1753805674.954817,2025-07-29 18:14:34,108,1753805674.90745,2025-07-29 18:14:34,0.047367
188,1753805675.003395,2025-07-29 18:14:35,109,1753805675.080629,2025-07-29 18:14:35,0.07723400000000002
189,1753805675.049658,2025-07-29 18:14:35,109,1753805675.080629,2025-07-29 18:14:35,0.03097099999999997
190,1753805675.111784,2025-07-29 18:14:35,109,1753805675.080629,2025-07-29 18:14:35,0.031155
191,1753805675.155456,2025-07-29 18:14:35,109,1753805675.080629,2025-07-29 18:14:35,0.074827
192,1753805675.212302,2025-07-29 18:14:35,110,1753805675.253707,2025-07-29 18:14:35,0.041405000000000025
193,1753805675.257153,2025-07-29 18:14:35,110,1753805675.253707,2025-07-29 18:14:35,0.003446
194,1753805675.310996,2025-07-29 18:14:35,110,1753805675.253707,2025-07-29 18:14:35,0.057289
195,1753805675.351157,2025-07-29 18:14:35,111,1753805675.427045,2025-07-29 18:14:35,0.07588799999999996
196,1753805675.406722,2025-07-29 18:14:35,111,1753805675.427045,2025-07-29 18:14:35,0.02032299999999998
197,1753805675.458762,2025-07-29 18:14:35,111,1753805675.427045,2025-07-29 18:14:35,0.031717
198,1753805675.509275,2025-07-29 18:14:35,111,1753805675.427045,2025-07-29 18:14:35,0.08223
199,1753805675.550628,2025-07-29 18:14:35,112,1753805675.60761,2025-07-29 18:14:35,0.05698199999999998
200,1753805675.603044,2025-07-29 18:14:35,112,1753805675.60761,2025-07-29 18:14:35,0.004565999999999959
201,1753805675.656686,2025-07-29 18:14:35,112,1753805675.60761,2025-07-29 18:14:35,0.049076
202,1753805675.70165,2025-07-29 18:14:35,113,1753805675.784837,2025-07-29 18:14:35,0.08318700000000001
203,1753805675.758035,2025-07-29 18:14:35,113,1753805675.784837,2025-07-29 18:14:35,0.026801999999999992
204,1753805675.810187,2025-07-29 18:14:35,113,1753805675.784837,2025-07-29 18:14:35,0.02535
205,1753805675.859118,2025-07-29 18:14:35,113,1753805675.784837,2025-07-29 18:14:35,0.074281
206,1753805675.899701,2025-07-29 18:14:35,114,1753805675.957781,2025-07-29 18:14:35,0.05808000000000002
207,1753805675.954797,2025-07-29 18:14:35,114,1753805675.957781,2025-07-29 18:14:35,0.0029839999999999867
208,1753805676.001049,2025-07-29 18:14:36,114,1753805675.957781,2025-07-29 18:14:35,0.043268
209,1753805676.053844,2025-07-29 18:14:36,115,1753805676.129551,2025-07-29 18:14:36,0.07570699999999997
210,1753805676.107119,2025-07-29 18:14:36,115,1753805676.129551,2025-07-29 18:14:36,0.022432000000000007
211,1753805676.157531,2025-07-29 18:14:36,115,1753805676.129551,2025-07-29 18:14:36,0.02798
212,1753805676.209507,2025-07-29 18:14:36,115,1753805676.129551,2025-07-29 18:14:36,0.079956
213,1753805676.251462,2025-07-29 18:14:36,116,1753805676.301749,2025-07-29 18:14:36,0.05028699999999997
214,1753805676.300697,2025-07-29 18:14:36,116,1753805676.301749,2025-07-29 18:14:36,0.001052000000000053
215,1753805676.359966,2025-07-29 18:14:36,116,1753805676.301749,2025-07-29 18:14:36,0.058217
216,1753805676.399987,2025-07-29 18:14:36,117,1753805676.47186,2025-07-29 18:14:36,0.07187299999999996
217,1753805676.458906,2025-07-29 18:14:36,117,1753805676.47186,2025-07-29 18:14:36,0.012954000000000021
218,1753805676.509247,2025-07-29 18:14:36,117,1753805676.47186,2025-07-29 18:14:36,0.037387
219,1753805676.550283,2025-07-29 18:14:36,117,1753805676.47186,2025-07-29 18:14:36,0.078423
220,1753805676.601031,2025-07-29 18:14:36,118,1753805676.648023,2025-07-29 18:14:36,0.046992000000000034
221,1753805676.655126,2025-07-29 18:14:36,118,1753805676.648023,2025-07-29 18:14:36,0.007103
222,1753805676.705397,2025-07-29 18:14:36,118,1753805676.648023,2025-07-29 18:14:36,0.057374
223,1753805676.751032,2025-07-29 18:14:36,119,1753805676.822267,2025-07-29 18:14:36,0.07123500000000005
224,1753805676.804778,2025-07-29 18:14:36,119,1753805676.822267,2025-07-29 18:14:36,0.017488999999999977
225,1753805676.849763,2025-07-29 18:14:36,119,1753805676.822267,2025-07-29 18:14:36,0.027496
226,1753805676.902875,2025-07-29 18:14:36,119,1753805676.822267,2025-07-29 18:14:36,0.080608
227,1753805676.949669,2025-07-29 18:14:36,120,1753805677.014022,2025-07-29 18:14:37,0.064353
228,1753805677.000666,2025-07-29 18:14:37,120,1753805677.014022,2025-07-29 18:14:37,0.013356000000000035
229,1753805677.056037,2025-07-29 18:14:37,120,1753805677.014022,2025-07-29 18:14:37,0.042015
230,1753805677.106494,2025-07-29 18:14:37,121,1753805677.190125,2025-07-29 18:14:37,0.08363100000000001
231,1753805677.159704,2025-07-29 18:14:37,121,1753805677.190125,2025-07-29 18:14:37,0.03042100000000003
232,1753805677.2047,2025-07-29 18:14:37,121,1753805677.190125,2025-07-29 18:14:37,0.014575
233,1753805677.25653,2025-07-29 18:14:37,121,1753805677.190125,2025-07-29 18:14:37,0.066405
234,1753805677.300703,2025-07-29 18:14:37,122,1753805677.366813,2025-07-29 18:14:37,0.06611
235,1753805677.352342,2025-07-29 18:14:37,122,1753805677.366813,2025-07-29 18:14:37,0.014471000000000012
236,1753805677.410393,2025-07-29 18:14:37,122,1753805677.366813,2025-07-29 18:14:37,0.04358
237,1753805677.455642,2025-07-29 18:14:37,122,1753805677.366813,2025-07-29 18:14:37,0.088829
238,1753805677.506,2025-07-29 18:14:37,123,1753805677.546901,2025-07-29 18:14:37,0.040900999999999965
239,1753805677.552724,2025-07-29 18:14:37,123,1753805677.546901,2025-07-29 18:14:37,0.005823
240,1753805677.604631,2025-07-29 18:14:37,123,1753805677.546901,2025-07-29 18:14:37,0.05773
241,1753805677.652642,2025-07-29 18:14:37,124,1753805677.72339,2025-07-29 18:14:37,0.07074800000000003
242,1753805677.701671,2025-07-29 18:14:37,124,1753805677.72339,2025-07-29 18:14:37,0.021719000000000044
243,1753805677.759028,2025-07-29 18:14:37,124,1753805677.72339,2025-07-29 18:14:37,0.035638
244,1753805677.804904,2025-07-29 18:14:37,124,1753805677.72339,2025-07-29 18:14:37,0.081514
245,1753805677.856885,2025-07-29 18:14:37,125,1753805677.897137,2025-07-29 18:14:37,0.040251999999999954
246,1753805677.902448,2025-07-29 18:14:37,125,1753805677.897137,2025-07-29 18:14:37,0.005311
247,1753805677.956199,2025-07-29 18:14:37,125,1753805677.897137,2025-07-29 18:14:37,0.059062
248,1753805678.00129,2025-07-29 18:14:38,126,1753805678.075869,2025-07-29 18:14:38,0.07457899999999995
249,1753805678.05307,2025-07-29 18:14:38,126,1753805678.075869,2025-07-29 18:14:38,0.022799000000000014
250,1753805678.10854,2025-07-29 18:14:38,126,1753805678.075869,2025-07-29 18:14:38,0.032671
251,1753805678.16021,2025-07-29 18:14:38,126,1753805678.075869,2025-07-29 18:14:38,0.084341
252,1753805678.203172,2025-07-29 18:14:38,127,1753805678.254228,2025-07-29 18:14:38,0.05105599999999999
253,1753805678.256227,2025-07-29 18:14:38,127,1753805678.254228,2025-07-29 18:14:38,0.001999
254,1753805678.307545,2025-07-29 18:14:38,127,1753805678.254228,2025-07-29 18:14:38,0.053317
255,1753805678.353851,2025-07-29 18:14:38,128,1753805678.432524,2025-07-29 18:14:38,0.07867299999999999
256,1753805678.399629,2025-07-29 18:14:38,128,1753805678.432524,2025-07-29 18:14:38,0.03289500000000001
257,1753805678.459481,2025-07-29 18:14:38,128,1753805678.432524,2025-07-29 18:14:38,0.026957
